SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
110,main_file_0.p6.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
111,main_file_0.p6.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
112,main_file_0.p6.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
113,main_file_0.p4.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
114,main_file_0.p4.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
115,main_file_0.p4.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
116,main_file_0.p5.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
117,main_file_0.p5.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
118,main_file_0.p5.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
119,main_file_0.p3.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
120,main_file_0.p3.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
121,main_file_0.p3.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[23:16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
